Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21418,Berzunţi,Berzunţi,0,4,,4,4.50231E+11,,56282852.1,38630.79178,46.40654333,26.63115077,5279,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21454,Bîrsaneşti,Bârsăneşti,0,4,,4,4.50268E+11,,70455415.49,46898.74991,46.33479613,26.67738971,4583,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21506,Blageşti,Blăgeşti,0,4,,4,4.50274E+11,,97021578.91,54704.02353,46.67013517,26.65002699,7597,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21560,Bogdaneşti,Bogdăneşti,0,4,,4,4.50297E+11,,32152195.01,46122.97875,46.20850259,26.68764008,2762,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21597,Brusturoasa,Brusturoasa,0,4,,4,4.50397E+11,,110242544.1,54696.7604,46.56875749,26.20086987,3417,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21668,Buhoci,Buhoci,0,4,,4,4.50427E+11,,51338813.27,44103.40904,46.57559192,27.02199736,5103,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21720,Caşin,Caşin,0,4,,4,4.5047E+11,,36687893.79,57127.60833,46.18670361,26.72700563,4007,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21757,Caiuţi,Căiuţi,0,4,,4,4.50479E+11,,135403230,74016.47746,46.14771125,26.88526541,5365,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21855,Cleja,Cleja,0,4,,4,4.50649E+11,,54977403.74,42127.53315,46.39764005,26.89424873,6963,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21891,Coloneşti,Coloneşti,0,4,,4,4.5067E+11,,45021511.86,49534.40117,46.60080308,27.27087329,2313,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21971,Corbasca,Corbasca,0,4,,4,4.50692E+11,,64161555.38,44058.60653,46.29457687,27.13788297,5490,1
