Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,People No
Croatia,HRV,Total,TOT,Sweden,SWE,5171
Croatia,HRV,Total,TOT,Malta,MLT,3
Cyprus,CYP,Female,FEM,Austria,AUT,55
Cyprus,CYP,Female,FEM,Belgium,BEL,42
Cyprus,CYP,Female,FEM,Bulgaria,BGR,180
Cyprus,CYP,Female,FEM,Croatia,HRV,0
Cyprus,CYP,Female,FEM,Cyprus,CYP,0
Cyprus,CYP,Female,FEM,Czech Republic,CZE,14
Cyprus,CYP,Female,FEM,Denmark,DNK,83
Cyprus,CYP,Female,FEM,Estonia,EST,0
Cyprus,CYP,Female,FEM,Finland,FIN,22
Cyprus,CYP,Female,FEM,France,FRA,14701
Cyprus,CYP,Female,FEM,Germany,DEU,6181
Cyprus,CYP,Female,FEM,Greece,GRC,8793
Cyprus,CYP,Female,FEM,Hungary,HUN,33
Cyprus,CYP,Female,FEM,Ireland,IRL,77
Cyprus,CYP,Female,FEM,Italy,ITA,110
Cyprus,CYP,Female,FEM,Latvia,LVA,1
Cyprus,CYP,Female,FEM,Lithuania,LTU,3
Cyprus,CYP,Female,FEM,Luxembourg,LUX,5
Cyprus,CYP,Female,FEM,Netherlands,NLD,109
Cyprus,CYP,Female,FEM,Poland,POL,15
Cyprus,CYP,Female,FEM,Portugal,PRT,0
Cyprus,CYP,Female,FEM,Romania,ROU,0
Cyprus,CYP,Female,FEM,Slovak Republic,SVK,3
Cyprus,CYP,Female,FEM,Slovenia,SVN,0
Cyprus,CYP,Female,FEM,Spain,ESP,54
Cyprus,CYP,Female,FEM,Sweden,SWE,166
Cyprus,CYP,Female,FEM,Malta,MLT,0
Cyprus,CYP,Male,MAL,Austria,AUT,45
Cyprus,CYP,Male,MAL,Belgium,BEL,37
Cyprus,CYP,Male,MAL,Bulgaria,BGR,205
Cyprus,CYP,Male,MAL,Croatia,HRV,0
Cyprus,CYP,Male,MAL,Cyprus,CYP,0
Cyprus,CYP,Male,MAL,Czech Republic,CZE,40
Cyprus,CYP,Male,MAL,Denmark,DNK,60
Cyprus,CYP,Male,MAL,Estonia,EST,0
Cyprus,CYP,Male,MAL,Finland,FIN,59
Cyprus,CYP,Male,MAL,France,FRA,14323
Cyprus,CYP,Male,MAL,Germany,DEU,5568
