Nume Uat,Cnt Name,Nume Regiune,Rang,Judet,Regiune,TIP,Pop 1Ian2020
Şcheia,Suceava,Nord-Est,Iv,33,1,3,12372
Adâncata,Suceava,Nord-Est,Iv,33,1,3,4359
Arbore,Suceava,Nord-Est,Iv,33,1,3,7829
Baia,Suceava,Nord-Est,Iv,33,1,3,7606
Bălcăuţi,Suceava,Nord-Est,Iv,33,1,3,3181
Bilca,Suceava,Nord-Est,Iv,33,1,3,3992
Bogdăneşti,Suceava,Nord-Est,Iv,33,1,3,4123
Boroaia,Suceava,Nord-Est,Iv,33,1,3,4752
Bosanci,Suceava,Nord-Est,Iv,33,1,3,8000
Botoşana,Suceava,Nord-Est,Iv,33,1,3,2603
Breaza,Suceava,Nord-Est,Iv,33,1,3,1541
Brodina,Suceava,Nord-Est,Iv,33,1,3,3970
Buneşti,Suceava,Nord-Est,Iv,33,1,3,2772
Cacica,Suceava,Nord-Est,Iv,33,1,3,4351
Calafindeşti,Suceava,Nord-Est,Iv,33,1,3,2967
Ilişeşti,Suceava,Nord-Est,Iv,33,1,3,2930
Cârlibaba,Suceava,Nord-Est,Iv,33,1,3,1945
Cornu Luncii,Suceava,Nord-Est,Iv,33,1,3,7327
Crucea,Suceava,Nord-Est,Iv,33,1,3,2003
Dărmăneşti,Suceava,Nord-Est,Iv,33,1,3,5904
Dolheşti,Suceava,Nord-Est,Iv,33,1,3,3778
Dorna-Arini,Suceava,Nord-Est,Iv,33,1,3,2942
Dorna Candrenilor,Suceava,Nord-Est,Iv,33,1,3,3126
Dorneşti,Suceava,Nord-Est,Iv,33,1,3,4951
Drăgoieşti,Suceava,Nord-Est,Iv,33,1,3,2887
Drăguşeni,Suceava,Nord-Est,Iv,33,1,3,2562
Dumbrăveni,Suceava,Nord-Est,Iv,33,1,3,10040
Fântânele,Suceava,Nord-Est,Iv,33,1,3,4702
Forăşti,Suceava,Nord-Est,Iv,33,1,3,4509
Frătăuţii Noi,Suceava,Nord-Est,Iv,33,1,3,6011
Frătăuţii Vechi,Suceava,Nord-Est,Iv,33,1,3,5816
Frumosu,Suceava,Nord-Est,Iv,33,1,3,3449
Fundu Moldovei,Suceava,Nord-Est,Iv,33,1,3,3937
Gălăneşti,Suceava,Nord-Est,Iv,33,1,3,3032
Grămeşti,Suceava,Nord-Est,Iv,33,1,3,2910
Grăniceşti,Suceava,Nord-Est,Iv,33,1,3,5876
Horodniceni,Suceava,Nord-Est,Iv,33,1,3,3561
Horodnic De Jos,Suceava,Nord-Est,Iv,33,1,3,2463
Iacobeni,Suceava,Nord-Est,Iv,33,1,3,2051
Izvoarele Sucevei,Suceava,Nord-Est,Iv,33,1,3,2143
Marginea,Suceava,Nord-Est,Iv,33,1,3,11426
Mălini,Suceava,Nord-Est,Iv,33,1,3,7809
Mănăstirea Humorului,Suceava,Nord-Est,Iv,33,1,3,3808
Moara,Suceava,Nord-Est,Iv,33,1,3,6097
Moldova-Suliţa,Suceava,Nord-Est,Iv,33,1,3,1990
Moldoviţa,Suceava,Nord-Est,Iv,33,1,3,5213
Muşeniţa,Suceava,Nord-Est,Iv,33,1,3,1814
